Hour,Occurrence Day Of Week,ANZSOC Division,Map Detail Name,ANZSOC Group,Area Unit,Occurrence Hour Of Day,Region,Territorial Authority,Year Month,Mb2014,REGC2014 label,Ta2014 Nam,Number of Victimisations,Victimisations,Latitude,Longitude
23,Sat,Theft and Related Offences,681309.0,Theft of Motor Vehicle Parts or Contents,Highland Park.,23,Auckland Region,Auckland.,1/01/2023,681309.0,Auckland Region,Auckland,1,1,-36.90018033,174.9111547
12,Tue,"Unlawful Entry With Intent/Burglary, Break and Enter",681309.0,"Unlawful Entry With Intent/Burglary, Break and Enter",Highland Park.,12,Auckland Region,Auckland.,1/12/2022,681309.0,Auckland Region,Auckland,1,1,-36.90018033,174.9111547
3,Sat,Theft and Related Offences,582200.0,Theft of Motor Vehicle Parts or Contents,Akarana.,3,Auckland Region,Auckland.,1/01/2023,582200.0,Auckland Region,Auckland,1,1,-36.9148647,174.73203
15,Wed,Acts Intended to Cause Injury,596600.0,Serious Assault Resulting in Injury,Onehunga North West.,15,Auckland Region,Auckland.,1/12/2022,596600.0,Auckland Region,Auckland,1,1,-36.91611417,174.7764014
4,Sat,Theft and Related Offences,682200.0,Theft of Motor Vehicle Parts or Contents,Elsmore Park.,4,Auckland Region,Auckland.,1/01/2023,682200.0,Auckland Region,Auckland,1,1,-36.90792408,174.8954756
0,Sun,Theft and Related Offences,682200.0,"Theft (Except Motor Vehicles), N.E.C.",Elsmore Park.,0,Auckland Region,Auckland.,1/12/2022,682200.0,Auckland Region,Auckland,1,1,-36.90792408,174.8954756
8,Sat,Theft and Related Offences,726500.0,Theft of Motor Vehicle Parts or Contents,Mangere South.,8,Auckland Region,Auckland.,1/01/2023,726500.0,Auckland Region,Auckland,1,1,-36.98072322,174.7696937
11,Tue,Theft and Related Offences,726500.0,"Theft (Except Motor Vehicles), N.E.C.",Mangere South.,11,Auckland Region,Auckland.,1/12/2022,726500.0,Auckland Region,Auckland,1,1,-36.98072322,174.7696937
8,Sat,Theft and Related Offences,497800.0,Theft of Motor Vehicle Parts or Contents,Orakei North.,8,Auckland Region,Auckland.,1/01/2023,497800.0,Auckland Region,Auckland,1,1,-36.86417486,174.8227244
17,Thu,"Unlawful Entry With Intent/Burglary, Break and Enter",497800.0,"Unlawful Entry With Intent/Burglary, Break and Enter",Orakei North.,17,Auckland Region,Auckland.,1/01/2023,497800.0,Auckland Region,Auckland,1,1,-36.86417486,174.8227244
16,Wed,Acts Intended to Cause Injury,441505.0,Common Assault,Grafton West.,16,Auckland Region,Auckland.,1/12/2022,441505.0,Auckland Region,Auckland,1,1,-36.86365343,174.761466
17,Wed,Acts Intended to Cause Injury,769200.0,Serious Assault Not Resulting in Injury,Wattle Farm.,17,Auckland Region,Auckland.,1/01/2023,769200.0,Auckland Region,Auckland,1,1,-37.03798999,174.889865
9,Sat,Theft and Related Offences,635800.0,Theft of Motor Vehicle Parts or Contents,Mt Wellington South.,9,Auckland Region,Auckland.,1/01/2023,635800.0,Auckland Region,Auckland,1,1,-36.92820945,174.8512034
14,Thu,Theft and Related Offences,763100.0,"Theft (Except Motor Vehicles), N.E.C.",Clevedon.,14,Auckland Region,Auckland.,1/12/2022,763100.0,Auckland Region,Auckland,1,1,-36.99609743,175.0453985
2,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",763100.0,"Unlawful Entry With Intent/Burglary, Break and Enter",Clevedon.,2,Auckland Region,Auckland.,1/01/2023,763100.0,Auckland Region,Auckland,1,1,-36.99609743,175.0453985
18,Wed,Acts Intended to Cause Injury,630400.0,Serious Assault Not Resulting in Injury,Tamaki.,18,Auckland Region,Auckland.,1/01/2023,630400.0,Auckland Region,Auckland,1,1,-36.90069164,174.8593972
9,Sat,Theft and Related Offences,283400.0,Theft of Motor Vehicle Parts or Contents,Woodglen.,9,Auckland Region,Auckland.,1/01/2023,283400.0,Auckland Region,Auckland,1,1,-36.91050044,174.6482947
3,Sat,Theft and Related Offences,660100.0,Illegal Use of a Motor Vehicle,Papatoetoe West.,3,Auckland Region,Auckland.,1/01/2023,660100.0,Auckland Region,Auckland,2,2,-36.9879489,174.8521165
20,Sat,Theft and Related Offences,708500.0,"Theft (Except Motor Vehicles), N.E.C.",Otara South.,20,Auckland Region,Auckland.,1/12/2022,708500.0,Auckland Region,Auckland,1,1,-36.96394065,174.870311
15,Sat,Theft and Related Offences,708500.0,"Theft (Except Motor Vehicles), N.E.C.",Otara South.,15,Auckland Region,Auckland.,1/01/2023,708500.0,Auckland Region,Auckland,1,1,-36.96394065,174.870311
13,Thu,Theft and Related Offences,708500.0,Theft of Motor Vehicle Parts or Contents,Otara South.,13,Auckland Region,Auckland.,1/01/2023,708500.0,Auckland Region,Auckland,1,1,-36.96394065,174.870311
9,Wed,Acts Intended to Cause Injury,661100.0,Serious Assault Not Resulting in Injury,Papatoetoe North.,9,Auckland Region,Auckland.,1/01/2023,661100.0,Auckland Region,Auckland,1,1,-36.96766073,174.8559278
9,Sat,Theft and Related Offences,268600.0,Illegal Use of a Motor Vehicle,New Lynn South.,9,Auckland Region,Auckland.,1/01/2023,268600.0,Auckland Region,Auckland,2,2,-36.90755296,174.6738833
21,Sat,Theft and Related Offences,440113.0,"Theft (Except Motor Vehicles), N.E.C.",Auckland Harbourside.,21,Auckland Region,Auckland.,1/12/2022,440113.0,Auckland Region,Auckland,1,1,-36.84466685,174.7577362
14,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",440113.0,"Unlawful Entry With Intent/Burglary, Break and Enter",Auckland Harbourside.,14,Auckland Region,Auckland.,1/12/2022,440113.0,Auckland Region,Auckland,1,1,-36.84466685,174.7577362
